ExperimentID,SampleID,AndroidVersion,Brand,Model,Avg_Lux,User_ID,Protocol_ID,Latitude,Longitude,Luminosity,Timestamp
32,530,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4384761,-8.3025144,5,04/05/2019 22:02
32,531,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4384749,-8.302524,8,04/05/2019 22:02
32,532,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4384772,-8.302536,21,04/05/2019 22:02
32,533,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4384946,-8.3026669,64,04/05/2019 22:02
32,534,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4384987,-8.3027189,122,04/05/2019 22:02
32,535,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385027,-8.3027426,114,04/05/2019 22:02
32,536,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385223,-8.3028013,103,04/05/2019 22:02
32,537,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385227,-8.3028103,84,04/05/2019 22:02
32,538,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385218,-8.3028189,66,04/05/2019 22:02
32,539,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385231,-8.3028356,63,04/05/2019 22:02
32,540,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385417,-8.3028771,55,04/05/2019 22:02
32,541,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385452,-8.3028835,31,04/05/2019 22:02
32,542,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385454,-8.302883,5,04/05/2019 22:02
32,543,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385423,-8.3028773,0,04/05/2019 22:02
32,544,8.0.0,HUAWEI,PRA-LX1,33.65625,1,1,41.4385311,-8.3028647,2,04/05/2019 22:02
33,545,5.1.1,Xiaomi,Redmi 3,0,1,1,41.4388726,-8.3033671,0,04/05/2019 22:04
33,546,5.1.1,Xiaomi,Redmi 3,0,1,1,41.4388726,-8.3033671,0,04/05/2019 22:04
33,547,5.1.1,Xiaomi,Redmi 3,0,1,1,41.4388726,-8.3033671,0,04/05/2019 22:04
34,548,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388726,-8.3033671,13,04/05/2019 22:04
34,549,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4387772,-8.303751,10,04/05/2019 22:04
34,550,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4387688,-8.3037376,0,04/05/2019 22:04
34,551,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388389,-8.3036878,31,04/05/2019 22:04
34,552,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388542,-8.3036849,29,04/05/2019 22:04
34,553,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388445,-8.303738,13,04/05/2019 22:04
34,554,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388421,-8.3037696,13,04/05/2019 22:04
34,555,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388335,-8.3038175,10,04/05/2019 22:04
34,556,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388279,-8.3038544,8,04/05/2019 22:04
34,557,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388307,-8.3038983,13,04/05/2019 22:04
34,558,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388283,-8.3039037,29,04/05/2019 22:04
34,559,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388224,-8.303893,29,04/05/2019 22:04
34,560,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388184,-8.3038858,31,04/05/2019 22:04
34,561,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388202,-8.3038841,29,04/05/2019 22:04
34,562,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388466,-8.303905,18,04/05/2019 22:04
34,563,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388585,-8.3039144,24,04/05/2019 22:04
34,564,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.438871,-8.3039279,18,04/05/2019 22:04
34,565,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4388849,-8.3039406,13,04/05/2019 22:04
34,566,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4389059,-8.3039604,8,04/05/2019 22:04
34,567,8.0.0,HUAWEI,PRA-LX1,17.35,1,1,41.4389146,-8.3039655,8,04/05/2019 22:04
35,568,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388726,-8.3033671,11,04/05/2019 22:04
35,569,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4387696,-8.3034392,11,04/05/2019 22:04
35,570,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.438701,-8.3036293,11,04/05/2019 22:04
35,571,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4387644,-8.3037303,13,04/05/2019 22:04
35,572,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4387494,-8.3038094,13,04/05/2019 22:04
35,573,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388366,-8.3038062,14,04/05/2019 22:04
35,574,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388718,-8.3038195,11,04/05/2019 22:04
35,575,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388727,-8.3038506,13,04/05/2019 22:04
35,576,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.438869,-8.3038847,13,04/05/2019 22:04
35,577,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388681,-8.3039005,13,04/05/2019 22:04
35,578,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388654,-8.3039124,13,04/05/2019 22:04
35,579,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388633,-8.3039366,14,04/05/2019 22:04
35,580,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388629,-8.3039442,12,04/05/2019 22:04
35,581,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388514,-8.3039448,15,04/05/2019 22:04
35,582,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388397,-8.3039352,20,04/05/2019 22:04
35,583,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388414,-8.3039344,19,04/05/2019 22:04
35,584,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388476,-8.3039351,18,04/05/2019 22:04
35,585,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388669,-8.3039387,16,04/05/2019 22:04
35,586,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388849,-8.3039438,12,04/05/2019 22:04
35,587,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388909,-8.3039487,10,04/05/2019 22:04
35,588,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388945,-8.3039549,11,04/05/2019 22:04
35,589,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4388988,-8.3039627,7,04/05/2019 22:04
35,590,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4389041,-8.3039722,6,04/05/2019 22:04
35,591,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4389041,-8.3039722,6,04/05/2019 22:04
35,592,7.0,HUAWEI,HUAWEI VNS-L31,12.48,1,1,41.4389041,-8.3039722,10,04/05/2019 22:04
36,593,5.1.1,Xiaomi,Redmi 3,8,1,1,41.441338,-8.3049091,14,04/05/2019 22:52
36,594,5.1.1,Xiaomi,Redmi 3,8,1,1,41.4408372,-8.3020419,6,04/05/2019 22:52
36,595,5.1.1,Xiaomi,Redmi 3,8,1,1,41.4408372,-8.3020419,4,04/05/2019 22:52
37,596,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414417,-8.3023284,43,04/05/2019 22:52
37,597,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4413671,-8.3023858,3,04/05/2019 22:52
37,598,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4413356,-8.3023241,3,04/05/2019 22:52
37,599,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.441445,-8.3022875,2,04/05/2019 22:52
37,601,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414875,-8.302322,5,04/05/2019 22:52
37,603,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414969,-8.3023257,5,04/05/2019 22:52
37,604,7.0,HUAWEI,HUAWEI VNS-L31,13.04,1,1,41.4414975,-8.302308,5,04/05/2019 22:52
